DATE,Annual Inflation Rate,Quarterly GDP Change,Interest Rate Quarterly,Unemployment Rate Quarterly
1988-06-30,4.562353424160339,1.3054737675524564,8.91,5.466666666666666
1988-09-30,4.847177815053108,0.5842595204775591,9.1,5.466666666666666
1988-12-31,4.346051947641508,1.3236569374035057,8.956666666666667,5.333333333333333
1989-03-31,4.518576773499466,1.0112643926211362,9.206666666666665,5.2
1989-06-30,6.414052365221363,0.7602027800347244,8.773333333333333,5.233333333333333
1989-09-30,3.1153642103668617,0.7380056517089173,8.106666666666667,5.233333333333333
1989-12-31,4.045815699953337,0.19678730209609085,7.906666666666666,5.366666666666667
1990-03-31,6.827000432205341,1.0869532462091769,8.423333333333334,5.3
1990-06-30,3.9378556376249416,0.3623128836839129,8.676666666666668,5.333333333333333
1990-09-30,6.850007657037456,0.06655952356169337,8.703333333333333,5.7
1990-12-31,6.7346734737423715,-0.9145740648071055,8.396666666666667,6.133333333333333
1991-03-31,2.97915974954177,-0.4690389148507279,8.016666666666666,6.6000000000000005
1991-06-30,2.3674545065814825,0.7766651894062448,8.13,6.833333333333333
1991-09-30,3.037369156648122,0.5040860353405563,7.94,6.866666666666667
1991-12-31,3.30500057627363,0.34793883481079035,7.346666666666667,7.1000000000000005
1992-03-31,2.7014092063119697,1.1901418421425447,7.303333333333334,7.366666666666667
1992-06-30,3.065149098227639,1.07846685927111,7.376666666666666,7.6000000000000005
1992-09-30,3.041839754087685,0.9832602998745443,6.616666666666667,7.633333333333333
1992-12-31,3.4885312455258637,1.037455372331486,6.743333333333333,7.366666666666667
1993-03-31,2.899580100270896,0.1668045262061213,6.28,7.133333333333333
1993-06-30,2.8787123668170844,0.5804828773424475,5.989999999999999,7.066666666666666
1993-09-30,1.8462991468759498,0.47602004747613336,5.616666666666667,6.8
1993-12-31,3.302013706630598,1.3509823020076084,5.6066666666666665,6.633333333333333
1994-03-31,2.0045600038772218,0.9656852032588148,6.066666666666666,6.566666666666666
1994-06-30,2.265781519961375,1.3460821575336013,7.083333333333333,6.2
1994-09-30,3.6883202964495077,0.5828824899406726,7.333333333333333,6.0
1994-12-31,2.3214350872165666,1.1390581866788096,7.836666666666666,5.633333333333333
1995-03-31,2.9271668493290366,0.35415264608129604,7.483333333333333,5.466666666666666
1995-06-30,3.2567018935680285,0.2978787465089283,6.62,5.666666666666667
1995-09-30,2.011152996178872,0.8471272260706542,6.323333333333333,5.666666666666667
1995-12-31,2.174627515542256,0.6767866746930196,5.8933333333333335,5.566666666666666
1996-03-31,3.5409925727398592,0.7462586731000087,5.91,5.533333333333334
1996-06-30,3.4246784539244803,1.6541866808907457,6.72,5.5
1996-09-30,2.295192781208558,0.8930342932712776,6.78,5.266666666666667
1996-12-31,3.4603021996313004,1.0330155049368628,6.343333333333334,5.333333333333333
1997-03-31,2.4295812468575497,0.6433691338076031,6.5633333333333335,5.233333333333333
1997-06-30,0.9177186213491466,1.6515051002674142,6.696666666666666,5.0
1997-09-30,1.9950166044155873,1.2408386319378906,6.243333333333333,4.866666666666667
