DATE,Annual Inflation Rate,Quarterly GDP Change,Interest Rate Quarterly,Unemployment Rate Quarterly
1988-06-30,7.614098016638078,2.4801855181586063,8.88,8.7
1988-09-30,3.219333273131366,3.0071003621051418,11.88,8.4
1988-12-31,4.5168198311062815,2.917238048867432,12.88,8.0
1989-03-31,4.205032155634795,2.4892971773990524,12.88,7.6
1989-06-30,8.791562687510067,1.7600534372654408,13.75,7.2
1989-09-30,2.5494031488368805,2.6795936497142847,13.75,7.1
1989-12-31,6.053078939548584,2.5456821298899257,14.88,7.0
1990-03-31,4.9751885168868215,2.2827509683528646,14.88,6.9
1990-06-30,12.173794120101975,2.2216060380062075,14.88,6.9
1990-09-30,5.714382898990573,1.988859660518827,14.88,7.1
1990-12-31,7.494364422987938,0.5196157394555811,13.88,7.5
1991-03-31,1.3896945072744205,1.3006291218985666,12.38,8.0
1991-06-30,17.639941384118842,1.5071313943368025,11.38,8.7
1991-09-30,3.743490025788084,0.8258283930421939,10.38,9.2
1991-12-31,4.142855239978861,1.2946071471725773,10.38,9.5
1992-03-31,1.5155633827833204,1.023752252029908,10.38,9.7
1992-06-30,7.280714923445476,0.2482613357333463,9.88,9.8
1992-09-30,-0.6371118947145334,0.3671319843110865,8.88,9.9
1992-12-31,2.542381440279491,1.3228433099692793,6.88,10.4
1993-03-31,0.4221636275773869,2.4514735173813307,5.88,10.6
1993-06-30,7.730718557345584,0.11703245032119725,5.88,10.4
1993-09-30,0.41365050222045374,1.9564786689384661,5.88,10.2
1993-12-31,1.0322586373966853,1.7256422863960452,5.38,10.3
1994-03-31,0.6180789280265063,1.4494212912577353,5.13,9.9
1994-06-30,5.723143110112045,0.44695657534568056,5.13,9.7
1994-09-30,-0.40609140543782074,1.287695739932282,5.63,9.4
1994-12-31,1.0144565417204614,1.8147885261303287,6.13,9.0
1995-03-31,3.2290790900445043,0.7900501072205302,6.63,8.9
1995-06-30,5.588913278006534,0.9971351439654441,6.63,8.7
1995-09-30,0.7920794667449117,1.8187277813304092,6.63,8.6
1995-12-31,1.9733636471823968,1.4837012532264993,6.38,8.3
1996-03-31,2.1595144476997707,1.643266339243965,5.94,8.2
1996-06-30,4.478021944784783,2.1242030108135523,5.69,8.3
1996-09-30,0.3870343794942377,1.6334536248043818,5.69,8.1
1996-12-31,2.5066363061259147,1.1025842007514441,5.94,7.8
1997-03-31,8.881784197001251e-14,0.12381506708472045,5.94,7.3
1997-06-30,3.6355189271519754,1.38627107209075,6.5,7.2
1997-09-30,1.5209143798953915,3.083354736341981,7.0,6.8
1997-12-31,2.081859442818417,-0.8740239439493536,7.25,6.5
1998-03-31,-0.7557867151682552,1.9244151311372804,7.25,6.4
1998-06-30,4.326400041844838,0.8594516093095805,7.5,6.3
1998-09-30,-0.18713450633716894,0.9943107060614409,7.5,6.2
1998-12-31,2.2398565293451855,1.324995299414411,6.25,6.1
1999-03-31,-0.18617640550206735,0.7850100629868351,5.5,6.2
1999-06-30,3.8916220792475755,0.9725785238344997,5.0,6.0
1999-09-30,-0.9231483442008473,1.230765832122671,5.25,5.9
